Nama;Waktu Ulasan;Ulasan
Surya Armi Putra;5 tahun lalu;Lokasi nyaman, tmpat duduk luas. Bnyk pilihan menu minuman makanan. Rasa lumayan enak. Harga dibawah 20k. Tempat sangat cocok untuk nongkrong dan cerita2 bersama keluarga ataupun teman
Mas Dad;2 tahun lalu;Lumayan enak dan ramai
ARIEF;4 tahun lalu;Lumayan. Pesan hot coffe tapi gak sepanas itu😅😅 …
Gendoet Djaya;4 tahun lalu;"makanan enak , tmptnya bersih dan luas
sayang klo siang panas bgt dsitu kecuali d ruangan berACnya"
Herlina Rianty;2 tahun lalu;Makanan+minuman cukup memuaskan, sarannya untuk pihak meinweilt untuk manajemen pesanan dapat lebih optimal karena jika dalam keadaan pengunjung ramai, yang saya rasakan cukup lama menunggu pesanan nya, sukses terus kedepannya 👍 …
dawn95 F;2 tahun lalu;Mantap
Ade Gerend;5 tahun lalu;Mantap
Evita Primalia;setahun lalu;Mantap kopi enak
penikmat Senja;2 tahun lalu;Mantap 👍👍👍👍 …
Dimas;setahun lalu;Mantapps
King Andika;3 tahun lalu;Menu2 nya enak dan tempat yg cozyy
Aldi Bewey;3 tahun lalu;Minuman coffee dan non coffee disini rasanya enak, harganya terjangkau juga tempatnya sangat cocok untuk sekedar bersantai dan mengobrol dengan teman-teman sambil menikmati pemandangan kolam ikan.
Nasa Sampit;3 tahun lalu;Minuman dan makanannya enak semua yang kami pesan. Pertama kalinya ke sini tapi sudah memberi kesan yang kurang bagus dari segi pelayanan. Kami sudah kasih list pesanan duluan ke kasir tapi kelewat ngga diinput ke nota jadi yang datang jauh …
Anggi Nurist;2 tahun lalu;Minuman dan makanannya enak, harga sesuai, tempat cozy
eko yumiarno;3 tahun lalu;Minumannya enak👍👍👍👍👍👍 tapi sayang cirengnya agak berminyak digorengnya dan terlalu lembek but it's all about preference sih, saya malah prefer pisang gorengnya, enak... utk tempatnya luas dan cozy, enjoyable... pelayanannya oke👍 untuk harga standar coffee shop pada umumnya …
Calon Drop Out;3 tahun lalu;Murah dan enak
Ricky Chandra;5 tahun lalu;nice place & delicious
Rohmidah Bin Sahmani;6 bulan lalu;Nongkrong di tepian jalan raya, beratap tenda yg disusun cantik.. enak banget jdi tempat nongkrong, muda tua berkumpul, kopinya enak
wilson udy “kudit” maseh;3 tahun lalu;Nyaman sekali
Adyatma;2 tahun lalu;Ok
Beiny Harsono;5 tahun lalu;Ok
Mirza Putra;5 tahun lalu;Orderan suka telat atau bahkan kayanya kelupaan karna lamaaaa bgt dtgnya pas ditanyain ulang bru dtg. Menu makanan masih kurang variatif, tp minumannya enak kok. Tempatnya cozy, ada live music tiap malem minggu. Kalo mau kesini malem minggu harus datang awal bgt yah karna tempat ini lumayan digemari dedek2 karna harganya yg murah
Tawfik Rahman;3 tahun lalu;Paline enak banget
Tsaqif Fauzan;3 tahun lalu;Pelayanan baik, suasana asyik,malam minggu ada live music nya
Eko Andik Pribadi;2 tahun lalu;Pesan ayam rica-rica yg datang lebih byk tulangan ayam drpd daging ayamnya, maaf boleh diperbaiki kualitas menu ayam rica2nya, rasanya enak cuman disayangkan pas makan berasa makan tulang semua.
Qila Ryanda;2 tahun lalu;Pesanan sama LaMocha  kalau ga salah, yang datang berbeda satunya gelas agak gede ada kopinya, satunya cuma susu coklat, nambah cleo sebiji 9k ngasih 50k diminta 1k dikasih 51k dibalikin 40k cmiiw, tempat bagus, pelayanan oke kurang fokus saja 😎🙏 …
Fera Yulistiana;5 tahun lalu;"Pineapple punch nya segar..
Cireng nya enak"
jhoni ardianto;5 tahun lalu;porsi makanannya lmyan banyak dengan harga standar, pelayannya ramah, suasana nyaman,
Nurulia Shalehatun Nisa;3 tahun lalu;"Prose's pembuatan mkanan begitu lama,
Suasananya panas ngga disediakan kipaa angin untuk yang outdoor.
Layanan biasa aja. …"
Agra Fadillah;5 tahun lalu;"ramai, tempatnya estetik , makanannya enak mungkin tambah menu lagi aja. cocok untuk nongki barang teman teman dan seru bareng. moga makin maju n mantap

@hermonkh"
Urbanus;9 bulan lalu;Recommended nih tempat untuk nongki-nongki
Wendy Handie;3 tahun lalu;Ruangan di dlm panas ,AC nya kurang dingin
Fransisko Hombing;3 tahun lalu;"Sangat Recommend untuk bersantai, pelayanan memuaskan 🔥🔥

Harga mahasiswa ☑️ …"
Jefry Firnando;5 bulan lalu;Santuy dan Nyaman ya disini, menu makanan dan minuman nya enak, yang penting Satu hal, Cafe ini sudah melaksanakan Protokol Kesehatan dengan baik, sesuai dengan Rekomendasi Satgas Covid-19 Kota Palangkaraya
Eugenius Nainggolan;2 tahun lalu;Saya pernah makan di sini. makanannya enak², tempatnya juga bagus banget, walaupun tidak terlalu luas.
Desy Ramadhani;5 tahun lalu;"Saya suka, masakan nya tersaji baik ,
Saat itu saya hopeless dgn pilihan kakak saya untuk buka puasa bareng di cafe 😂 tp ternyata menu nya enak dan mengenyangkan. …"
Sholahuddin Shoum;setahun lalu;Sdh coba di jl.c.bangas, pengaringan..malam minggu full musik..musik akustik romantis bingits..makanan minuman enak semua..parkir luas dan aman ada petugas jaga..sukses terus owner ka kudit dan ka nana..
Juniar Fadhilah;2 tahun lalu;Sebelum disajikan ada baiknya makanan yg disajikan dicicipi dulu tadi saya pesan makanan sayurnya ternyata basi
Ari Anto;3 tahun lalu;Sering santai disini suasana nya nyaman dan makanan nya enak....
Husnun Nadhiroh;4 tahun lalu;Siang jam 11.20, Nyobain karena ada iklannya di Ig, pesan special chicken steak, ayam kentang, telur dan saosnya Alhamdulillah bisa dinikmati, sayuran bekunya sayangnya basi, pas lagi nunggu makanan datang ternyata cafeenya punya pet dogy yang lagi santai di outdoor dan suasana indoornya kurang sejuk (lumayan agak meleleh keringat)
mocking bird;2 tahun lalu;Siap,gak ada alasan buat jelekin tempat keren kaya meine welt,selalu jadi tempat terbaik.sehat semua buat semua crew terus semangat
Irfan Rinaldi;2 tahun lalu;Singkong Goreng dan Tahu Gejrotnya Sedap betul. Saya suka. Kopinya juga
arisrachman hakim;setahun lalu;Singkong gorengnya enak loh
Argadira Pratama;3 tahun lalu;Suasana atmosfer tempatnya sangat nyaman, tapi sayang pesanan kentang aja datangnya sejam
Ariel Juliano;5 tahun lalu;Suasana nya nyaman ,sejuk ,ac nya dingin ,pelayanan nya juga ramah
Dani lutfi;5 tahun lalu;Suka bgtt ke sini karena suasananya, makanannya enak2, suka karena cafe nya ga terlalu terang😅 cocok buat kaum introvert kek saya😁🤡 …
Rizky Ryutomi;5 tahun lalu;Sukses terus🥰 …
Anindita Windraspramesti;setahun lalu;Tanpa skuy bossque.
Retzhu 04;5 tahun lalu;Taro nya buat kecanduan Indra pengecap
AHMED MAEDHY;2 tahun lalu;Tempat asik
Zulfikar Abdullah;setahun lalu;Tempat asik nongkrong ditengah kota dengan gaya container cafe terbuka... Rasa ya sesuai harga lah...
raul sihombing;3 tahun lalu;Tempat asyik buat nongkrong sama teman. Makanan dan minumannya enak, harga terjangkau
Ibnu Ismail;7 bulan lalu;"tempat enak buat nongkrong bareng teman"" atau keluarga"
Hasanudin tm;5 tahun lalu;tempat fav🤍 …
Sadri Kurniawan;5 tahun lalu;Tempat lumayan oke buat nongkrong
Buah nanas;3 tahun lalu;Tempat ngopi keren di palangka
Reny Susanti;3 tahun lalu;Tempat ngopi ternyaman, yang suasananya ga bikin orang pinggiran kek aku jadi insinyur wkwk menu2 yang selalu enak, tempat yg hangat n suasananya santai bikin yg dateng ngerasa betah n hepi buat balik lg lg n lg. sukses terus Meine Welt
Avri Yannoor;5 tahun lalu;Tempat nongkrong + ngopi
muhammad rezqy mysitowi;5 tahun lalu;Tempat nya enak untuk santai ,harga terjangkau
Rahmat Meilana;2 tahun lalu;Tempat nya nyaman 👌👌 …
Nana marini;5 tahun lalu;Tempat nyaman... Lokasi tengah kota
Raden Rifai Yahya;5 tahun lalu;Tempat paling enak buat nongkrong. Dijamin wejangan nya mantep bgt
Agustri Berry;5 tahun lalu;"Tempat santai yg nyaman,

Saran nnti klo bisa ad live akustikan musik jd biar lebih rame lg, …"
Beryl Yerikho Agusta;setahun lalu;"Tempat ternyaman ...
Semuanya enak enak enak ..."
Dayak Borneo;5 tahun lalu;Tempat ternyaman untuk berimajinasi
ndalndul obeng;setahun lalu;Tempat yang sederhana dan Dengan harga yang sesuai isi kantong mahasiswa
Andre;5 tahun lalu;Tempat yg asik,, keren,, instagramable bngt,, makanannya enak,, khususnya minuman,, rekomendasi banget caramel katte,, mau ice atau hot,, keduanya enak banget,, ada hotplant chiken fillet juga dengan beberapa pilihan saus,, ada onion ring,, stik moza cryspi,, tahu gejrot,, dll. Harga worth it bngt,, gk bikin kantong kamu jebol...
Noire Ops;5 tahun lalu;Tempat yg bagus, kekinian
Indra Setiawan;3 tahun lalu;Tempatnya Adem..
adha sepriadi segah;2 tahun lalu;Tempatnya asri (terutama kalo sepi). Selebihnya standar cafe biasa. Sempat dapat onion ring yang gosong pas lagi rame-ramenya.
my Pc;5 tahun lalu;Tempatnya bgus, makanany enak, paling suka minumannya pas ga kemanisan
Aulia Fiftiana;5 tahun lalu;Tempatnya Cozy abis
movic;5 tahun lalu;tempatnya cukup luas, humble, dan makanannya enak
Manuel Christian;3 tahun lalu;Tempatnya cukup nyaman dan cocok untuk berkumpul bersama keluarga atau teman, makanannya cukup enak
OKA DEWANTARA;3 tahun lalu;Tempatnya gak membosan kan
Enjelita;3 tahun lalu;Tempatnya luas dan bagus untuk berkumpul
Whisnu Sidik Prasetyo;3 tahun lalu;Tempatnya nyaman
andi yustana kamal;5 tahun lalu;Tempatnya nyaman, tapi kopinya b aja
Dedi Setiadi;4 tahun lalu;Tempatnya nyaman, tapi pesan online nunggunya lama.. sayang ojol nunggunya karena buat ojol waktu itu sangat berharga
EdWard;3 tahun lalu;Tempatnya sekarang keliatan lebih teduh, disini suka carmela dan green tea nya
doni tikitaka;3 tahun lalu;Tempatnya tenang, harga snacks & drink-nya nggak mahal
Wenny Assara;3 tahun lalu;Yuks mampir. Enak dan terjangkau 👌👌 …
EM PKY;2 tahun lalu;👍👍👍👍 …
Hemas Ramadhan;2 tahun lalu;👍👍👍👍👍 …
